vocabulary,meaning
amendment,"1. noun. a change or changes made to the words of a text 
2. noun. a change to a law that is not yet in operation and is still being discussed 
3. noun. a change or addition to the US constitution 
"
allocate,"1. verb. to give something to someone as their share of a total amount, to use in a particular way 
2. verb. to give something as a share of a total amount 
3. verb. to give a particular amount of time, money, etc. to someone or something, so that it can be used in a particular way 
"
convention,"1. noun. a large formal meeting of people who do a particular job or have a similar interest, or a large meeting for a political party 
2. noun. a large event where fans of (= people who are very enthusiastic about) a particular TV programme, film, computer game, etc. can meet each other and some of the people involved in making the programme, film, etc. 
3. noun. a usual or accepted way of behaving, especially in social situations, often following an old way of thinking or a custom in one particular society 
"
pineapple,"1. noun. (the yellow flesh and juice of) a large tropical fruit with a rough orange or brown skin and pointed leaves on top 
2. noun. a large, juicy fruit that grows in hotter regions, having a rough skin, a short stem, and pointed leaves on the top, or its sweet, yellow flesh
"
conventional,"1. adjective. traditional and ordinary 
2. adjective. used to refer to weapons that are not nuclear, or to methods of fighting a war that do not involve nuclear weapons 
3. adverb. following the usual practices of the past 
4. adjective. Conventional weapons are not nuclear.
"
colloquialism,"1. noun. an informal word or expression that is more suitable for use in speech than in writing
"
conservation ,"1. noun. the protection of plants and animals, natural areas, and interesting and important structures and buildings, especially from the damaging effects of human activity 
2. noun. carefully using valuable natural substances that exist in limited amounts in order to make certain that they will be available for as long a time as possible 
3. noun. the principle that in a physical system the total quantity of a physical property, such as energy or mass, does not change 
"
conserve,"1. verb. to keep and protect something from damage, change, or waste 
2. noun. a type of jam in which the fruit is whole or in large pieces 
3. verb. to keep and protect from waste, loss, or damage; preserve 
"
detergent,"1. noun. a chemical substance in the form of a powder or a liquid for removing dirt from clothes, dishes, etc.
2. noun. a chemical substance in the form of a powder or a liquid for removing dirt esp. from clothes or dishes
"
deficit,"1. noun. the total amount by which money spent is more than money received 
2. noun. the amount by which money spent is more than money received 
3. noun. the total amount by which money spent by a business or government is more than the money it receives 
"
detrimental,"1. adjective. causing harm or damage 
"
ventilation,"1. noun. the movement of fresh air around a closed space, or the system that does this 
"
stumble,"1. verb. to step awkwardly while walking or running and fall or begin to fall 
2. verb. to walk in a way that does not seem controlled 
"
refurbishment,"1. noun. work such as painting, repairing, and cleaning that is done to make a building look new again 
2. noun. the process of improving a building or store by cleaning and decorating it, adding new furniture, equipment, etc. 
"
perk,"1. noun. an advantage or something extra, such as money or goods, that you are given because of your job 
2. verb. an advantage 
3. noun. (to cause a liquid, especially coffee) to percolate
4. verb. a special advantage or benefit, in addition to the money you are paid, that you are given because of your job 
5. noun. (of boiling water or coffee) to move up a tube in a percolator (= a type of container for making coffee) when the coffee is being made 
"
preliminary,"1. adjective. coming before a more important action or event, especially introducing or preparing for it 
2. noun. an event or action that introduces or prepares for something else 
3. adjective. coming before a more important action or event, esp. introducing or preparing for it 
4. noun. coming before or done to prepare for a main or more important action, event, etc 
5. adjective. an event or action that prepares for or introduces something 
6. adjective. coming before a more important action or event, especially introducing or preparing for it 
7. noun. an event or action that introduces or prepares for something else 
8. adjective. coming before a more important action or event, esp. introducing or preparing for it 
9. noun. coming before or done to prepare for a main or more important action, event, etc 
10. adjective. an event or action that prepares for or introduces something 
"
onward,"1. adjective. moving forward to a later time or a more distant (= farther away) place 
2. adverb. → 
onwards 
3. adjective. further on in place or time 
4. adjective. moving forward to a later time or a more distant (= farther away) place 
5. adverb. → 
onwards 
6. adjective. further on in place or time 
"
layout,"1. noun. the way that something is arranged 
2. noun. the way something is designed or arranged 
3. noun. the way that something is designed or arranged 
"
prodigious,"1. adjective. extremely great in ability, amount, or strength 
2. adjective. extremely great in ability, amount, or strength 
3. adjective. extremely great in ability, amount, or strength 
4. adjective. extremely great in ability, amount, or strength 
"
fuss,"1. noun. a show of anger, worry, or excitement that is unnecessary or greater than the situation deserves 
2. verb. to give someone a lot of attention and treat them well 
3. noun. attention given to small matters that are not important 
4. verb. to give too much attention to small matters that are not important, usually in a way that shows that you are worried and not relaxed 
"
fringe,"1. noun. the outer or less important part of an area, group, or activity 
2. verb. a decorative edge of hanging narrow strips of material or threads on a piece of clothing or material 
3. noun. an area of hair hanging over the forehead (= part of the face above the eyes) that is cut shorter than the rest of the hair 
4. verb. in golf, an area surrounding the green where the grass is longer than the grass on the green but shorter than the grass on the fairway  
5. noun. If a place is fringed with something, that thing forms a border along the edge 
"
exacerbate,"1. verb. to make something that is already bad even worse 
2. verb. to make something that is already bad worse 
"
surpassing,"1. adjective. extremely great 
"
eminent,"1. adjective. famous, respected, or important 
2. adjective. famous and important 
"
interdisciplinary,"1. adjective. involving two or more different subjects or areas of knowledge 
2. adjective. involving two or more different subjects or areas of knowledge 
"
